batch,person,level,Timestep,ipscore,Weight,Amp,Att_feats,norm,choosed
0,3,1,22,0.0005894773,0.120453574,-0.06996237,-0.04195759,0.92331785,Yes
0,3,1,23,-6.291115e-05,0.11978957,0.007217373,-0.068243116,1.0511642,No
0,3,1,24,0.00027003756,0.1192702,-0.031810153,-0.0543188,1.2036575,Yes
0,3,2,0,8.867935e-05,0.112758346,-0.0067878673,-0.026284102,0.62757885,No
0,3,2,1,-0.00042428175,0.11349313,0.032403495,-0.023350876,0.9847258,No
0,3,2,2,4.5392062e-05,0.116733976,-0.0034464793,-0.018154038,0.4771477,No
0,3,2,3,-9.281089e-05,0.12000834,0.006755609,-0.027835984,0.2075679,No
0,3,2,4,2.7710112e-05,0.119648166,-0.0019705743,-0.053288452,0.14227818,Yes
0,3,2,5,-9.1528655e-06,0.12286464,0.00069185515,-0.0596582,0.27544972,No
0,3,2,6,0.00044986507,0.12476883,-0.03264437,-0.066990994,0.38361678,No
0,3,2,7,0.00027814426,0.12631068,-0.020774791,-0.05632127,0.45276892,No
0,3,2,8,0.00036457917,0.12854886,-0.027957851,-0.11615125,0.64295864,No
0,3,2,9,9.788236e-05,0.129113,-0.0074510965,0.02938775,0.7280801,No
0,3,2,10,0.00012389809,0.13134243,-0.009868922,-0.06057754,0.81406224,No
0,3,2,11,-0.0031059682,0.13475205,0.23100354,0.030755362,1.036595,No
0,3,2,12,-0.000685842,0.1361782,0.051486537,-0.0045469496,1.1850152,No
0,3,2,13,4.23592e-05,0.13881402,-0.0032848062,-0.11794476,1.4057803,No
0,3,2,14,0.00030989005,0.13991274,-0.02367497,-0.02169215,1.5089552,No
0,3,2,15,-0.00027186263,0.14247105,0.021289773,-0.018199435,1.6764672,No
0,3,2,16,0.00027180696,0.14476354,-0.02129977,-0.05908391,1.8061149,No
0,3,2,17,-0.002569621,0.14510344,0.19956507,0.116065376,1.9156343,No
0,3,2,18,0.00024022965,0.14853826,-0.019015506,-0.01997329,2.0576866,No
0,3,2,19,0.00029814205,0.14933008,-0.02302675,-0.10611732,2.066142,No
0,3,2,20,0.00086313684,0.15215811,-0.06610686,0.005874316,2.207653,No
0,3,2,21,-0.00034568625,0.1542939,0.027516076,-0.007997619,2.1337075,No
0,3,2,22,0.0008870908,0.15578082,-0.06996237,-0.04135632,2.232748,No
0,3,2,23,-9.3770235e-05,0.15862519,0.007217373,-0.0666203,2.3464282,No
0,3,2,24,0.00039643206,0.16060579,-0.031810153,-0.053686153,2.281946,No
0,4,0,0,-9.398474e-05,0.18962929,-0.0067878673,0.19231825,0.31924146,No
0,4,0,1,0.0003286827,0.19433674,0.032403495,0.1951182,0.76065344,No
0,4,0,2,-0.0001064849,0.19897567,-0.0034464793,0.20261507,0.25333235,No
0,4,0,3,7.084151e-05,0.19589403,0.006755609,0.19386154,0.18851809,No
0,4,0,4,-2.2523416e-05,0.19597675,-0.0019705743,0.17075057,0.23661317,No
0,4,0,5,1.3048442e-05,0.19817527,0.00069185515,0.1641912,0.2772485,No
0,4,0,6,-0.0006874567,0.1987385,-0.03264437,0.15957478,0.31258947,No
0,4,0,7,-0.00012250713,0.20109995,-0.020774791,0.17167044,0.3608896,No
0,4,0,8,4.604277e-05,0.20196658,-0.027957851,0.111608274,0.37188616,No
0,4,0,9,-0.00019054595,0.20380823,-0.0074510965,0.25651026,0.43915984,No
0,4,0,10,-6.166026e-05,0.20416841,-0.009868922,0.16917218,0.43475622,No
0,4,0,11,0.011845186,0.20732854,0.23100354,0.26033223,0.43011725,No
0,4,0,12,0.001414809,0.20621061,0.051486537,0.22523488,0.45735905,No
0,4,0,13,1.2324373e-05,0.20757248,-0.0032848062,0.11239965,0.46757832,No
